src,dst,relationship
FDH,OLB,753.0786935
FDH,TXL,606.393374
FDH,ZAD,600.4676451
FMM,NAP,852.4672741
GRZ,ZRH,522.7845544
HAM,FDH,663.4696987
MUC,EBA,633.4820176
NAP,FMM,852.4672741
OLB,FDH,753.0786935
SZG,ZRH,335.8018237
TXL,FDH,606.393374
ZAD,FDH,600.4676451
ZRH,DRS,556.0760977
ZRH,EBA,539.6211971
ZRH,GRZ,522.7845544
ZRH,SZG,335.8018237
ATL,LWB,593.6018158
ATL,MCN,127.5621502
ATL,MEI,428.5226937
ATL,MSL,317.5591089
ATL,PIB,519.4254223
ATL,TUP,406.5452203
BIM,FLL,98.02452769
ELH,FLL,353.669596
ELH,PBI,366.2900613
EYW,FLL,233.4978545
EYW,RSW,220.1773732
EYW,TPA,387.96204
FLL,BIM,98.02452769
FLL,ELH,353.669596
FLL,EYW,233.4978545
FLL,FPO,154.9619871
FLL,GGT,513.7730606
FLL,GHB,392.8596572
FLL,MCO,285.9013961
FLL,MHH,309.8310075
FLL,TCB,284.9942534
FLL,TPA,316.7993508
FPO,FLL,154.9619871
GGT,FLL,513.7730606
GGT,GHB,196.9041803
GHB,FLL,392.8596572
GLH,TUP,222.4004999
GNV,MCO,168.547068
GNV,TPA,192.3474631
JAX,MHH,631.1732894
JAX,TPA,291.8158868
LWB,ATL,593.6018158
MCN,ATL,127.5621502
MCN,MCO,524.3084914
MCO,FLL,285.9013961
MCO,GNV,168.547068
MCO,MCN,524.3084914
MCO,MHH,468.2150891
MCO,PNS,612.6977111
MCO,RSW,215.0659839
MCO,TLH,366.8838717
MEI,ATL,428.5226937
MHH,FLL,309.8310075
MHH,JAX,631.1732894
MHH,MCO,468.2150891
MHH,PBI,300.0872537
MSL,ATL,317.5591089
PBI,ELH,366.2900613
PBI,MHH,300.0872537
PBI,TPA,280.4016578
PIB,ATL,519.4254223
PNS,MCO,612.6977111
PNS,TPA,530.0707245
RSW,EYW,220.1773732
RSW,MCO,215.0659839
TCB,FLL,284.9942534
TLH,MCO,366.8838717
TLH,TPA,321.8346996
TPA,EYW,387.96204
TPA,FLL,316.7993508
TPA,GNV,192.3474631
TPA,JAX,291.8158868
TPA,PBI,280.4016578
TPA,PNS,530.0707245
TPA,TLH,321.8346996
TUP,ATL,406.5452203
TUP,GLH,222.4004999
AMS,NDR,2022.506335
AMS,TNG,2026.957747
BCN,CMN,1226.515637
BCN,NDR,831.172922
BCN,TNG,930.6748515
BGY,CMN,2010.0845
BLQ,CMN,2042.688339
BRU,CMN,2182.663804
BRU,NDR,1869.696175
BRU,TNG,1881.245001
CGN,NDR,1945.737568
CMN,BCN,1226.515637
CMN,BGY,2010.0845
CMN,BLQ,2042.688339
CMN,BRU,2182.663804
CMN,CUF,1804.259054
CMN,LGW,2066.201701
CMN,LYS,1747.214842
CMN,MPL,1513.616182
CMN,SAW,3349.831075
CMN,TLS,1379.826541
CMN,TSF,2168.041489
CUF,CMN,1804.259054
FEZ,MPL,1321.977427
LGW,CMN,2066.201701
LGW,TNG,1774.632969
LYS,CMN,1747.214842
MPL,CMN,1513.616182
MPL,FEZ,1321.977427
MPL,NDR,1127.669127
NDR,AMS,2022.506335
NDR,BCN,831.172922
NDR,BRU,1869.696175
NDR,CGN,1945.737568
NDR,MPL,1127.669127
NDR,PMI,719.2942025
PMI,NDR,719.2942025
SAW,CMN,3349.831075
TLS,CMN,1379.826541
TNG,AMS,2026.957747
TNG,BCN,930.6748515
TNG,BRU,1881.245001
TNG,LGW,1774.632969
TSF,CMN,2168.041489
AUA,LSP,81.48817999
AUA,MAR,285.4853866
BON,CUR,75.41962027
CUR,AUA,119.7915394
LSP,AUA,81.48817999
MAR,AUA,285.4853866
ASF,DME,1235.238043
ASF,LED,1902.074875
BHK,DME,2615.655228
DME,ASF,1235.238043
DME,BHK,2615.655228
DME,EGO,537.0795528
DME,FEG,2982.361523
DME,KSQ,2775.06649
DME,NMA,2921.847723
DME,NVI,2624.201655
DME,SKD,2760.330941
DME,TIV,2001.080074
EGO,DME,537.0795528
FEG,DME,2982.361523
KSQ,DME,2775.06649
LED,ASF,1902.074875
NMA,DME,2921.847723
NVI,DME,2624.201655
SKD,DME,2760.330941
TIV,DME,2001.080074
ANU,PTP,100.8007258
CAY,FDF,1440.632108
CUR,SDQ,698.0951438
DOM,PTP,83.62945123
DOM,SXM,337.6074517
FDF,CAY,1440.632108
FDF,PTP,194.6039526
FDF,SDQ,1017.429423
FDF,SLU,63.47972048
PTP,ANU,100.8007258
PTP,DOM,83.62945123
PTP,FDF,194.6039526
PTP,SBH,229.4714227
PTP,SDQ,896.4285873
PTP,SFG,259.8616992
PTP,SXM,258.9614763
SBH,PTP,229.4714227
SDQ,PTP,896.4285873
SDQ,SXM,694.1139634
SFG,PTP,259.8616992
SLU,FDF,63.47972048
SXM,DOM,337.6074517
SXM,PTP,258.9614763
SXM,SDQ,694.1139634
BHY,XIY,1436.249486
CAN,CKG,965.6408898
CAN,CTU,1222.628408
CAN,SPN,3517.580226
CGO,CGQ,1463.435355
CGO,CKG,862.449334
CGO,CTU,1025.027101
CGO,HGH,781.2901052
CGO,HRB,1620.678936
CGO,KMG,1482.969164
CGO,URC,2485.613712
CGQ,CGO,1463.435355
CGQ,NKG,1487.06882
CGQ,TNA,1068.426723
CGQ,TSN,879.4911369
CKG,CAN,965.6408898
CKG,CGO,862.449334
CKG,CSX,662.1263734
CKG,CTU,276.1765547
CKG,CZX,1277.259524
CKG,DLC,1707.229835
CKG,DYG,374.486612
CKG,HAK,1153.883457
CKG,HGH,1328.879317
CKG,HKT,2554.657971
CKG,INC,10000
CKG,KHN,902.5763013
CKG,KMG,630.6937861
CKG,LHW,806.2550781
CKG,LJG,711.902746
CKG,LXA,1521.765866
CKG,NGB,1429.446378
CKG,NKG,1188.766228
CKG,NNG,805.2729958
CKG,PEK,1464.009709
CKG,PVG,1461.210734
CKG,PZI,591.9593719
CKG,SWA,1195.354691
CKG,SYD,8484.963286
CKG,SYX,1300.078897
CKG,SZX,1063.145673
CKG,TNA,1261.856542
CKG,TSA,1558.639143
CKG,TSN,1432.329536
CKG,TYN,1049.742457
CKG,URC,2313.153248
CKG,WUH,736.159495
CKG,WUX,1333.220195
CKG,XIY,562.0029411
CKG,XNN,869.4984333
CKG,YIH,474.4215635
CKG,ZHA,1016.395512
CSX,CKG,662.1263734
CSX,CTU,936.5698568
CSX,FOC,685.3254661
CSX,KMG,1078.368193
CSX,SHE,1761.229613
CSX,WNZ,749.4603331
CSX,XMN,634.9914689
CTU,CAN,1222.628408
CTU,CGO,1025.027101
CTU,CKG,276.1765547
CTU,CSX,936.5698568
CTU,DCY,400.2382239
CTU,DSN,1127.096871
CTU,HAK,1351.825083
CTU,HDG,1173.651345
CTU,HET,1344.189068
CTU,HFE,1276.310454
CTU,HGH,1580.222374
CTU,HKG,1351.656655
CTU,HKT,2565.709892
CTU,ICN,2204.208419
CTU,INC,10000
CTU,JHG,1008.008287
CTU,JIQ,484.7536144
CTU,JZH,254.1863542
CTU,KHN,1169.286172
CTU,KMG,617.1225244
CTU,KOW,1183.44278
CTU,KWE,528.6171725
CTU,LHW,660.8247671
CTU,LJG,564.1709661
CTU,LUM,869.8349022
CTU,LXA,1263.352825
CTU,LZY,936.6211003
CTU,MEL,8697.440511
CTU,NKG,1423.954013
CTU,NNG,980.5089903
CTU,PEK,1556.06365
CTU,PVG,1703.886492
CTU,PZI,495.6300759
CTU,SHE,2134.822995
CTU,SJW,1304.279105
CTU,SYX,1472.175992
CTU,SZX,1318.27203
CTU,TAO,1647.70536
CTU,TNA,1409.949863
CTU,TSA,1833.878026
CTU,TSN,1545.594693
CTU,TYN,1127.357845
CTU,URC,2071.497025
CTU,WNZ,1665.040268
CTU,WUH,981.1806711
CTU,WUX,1572.162051
CTU,WXN,429.6443355
CTU,XIC,334.8555552
CTU,XIY,622.7660515
CTU,XMN,1548.858868
CTU,XNN,684.5764466
CTU,XUZ,1334.804121
CTU,YIH,721.0946878
CTU,YTY,1509.039579
CZX,CKG,1277.259524
CZX,HRB,1622.365965
CZX,XMN,835.8969212
CZX,ZUH,1271.185796
DAT,TYN,267.6385642
DCY,CTU,400.2382239
DLC,CKG,1707.229835
DLC,HGH,976.6473993
DLC,HRB,835.2022483
DLC,TNA,445.7890789
DLC,XUZ,651.3102404
DNH,LHW,868.2474999
DSN,CTU,1127.096871
DSN,SHE,1173.869096
DYG,CKG,374.486612
DYG,NKG,858.6327044
FOC,CSX,685.3254661
FOC,XIY,1410.899811
GXH,LXA,1262.985976
GXH,XIY,560.1700995
HAK,CKG,1153.883457
HAK,CTU,1351.825083
HAK,HGH,1521.367317
HAK,NGB,1560.777556
HAK,ZUH,380.48756
HDG,CTU,1173.651345
HET,CTU,1344.189068
HFE,CTU,1276.310454
HGH,CGO,781.2901052
HGH,CKG,1328.879317
HGH,CTU,1580.222374
HGH,DLC,976.6473993
HGH,HAK,1521.367317
HGH,KWE,1394.303763
HGH,TSN,1028.394719
HGH,TYN,1102.122497
HKG,CTU,1351.656655
HKG,YIH,948.5105106
HKG,ZHA,386.9538369
HKT,CKG,2554.657971
HKT,CTU,2565.709892
HRB,CGO,1620.678936
HRB,CZX,1622.365965
HRB,DLC,835.2022483
HRB,INC,10000
HRB,NGB,1805.401778
HRB,NKG,1669.62333
HRB,NZH,798.966529
HRB,SJW,1254.482868
HRB,TNA,1231.471872
HRB,TSN,1027.000351
HRB,WNZ,2026.005528
HRB,WUH,1952.08256
HRB,XIY,1932.488499
HRB,XUZ,1482.689485
ICN,CTU,2204.208419
INC,CKG,10000
INC,CTU,10000
INC,HRB,10000
INC,KWL,10000
JGN,LHW,592.1870746
JHG,CTU,1008.008287
JHG,KMG,412.140349
JIQ,CTU,484.7536144
JJN,KWE,1196.834402
JJN,WUH,792.923357
JZH,CTU,254.1863542
KHG,URC,1065.96956
KHN,CKG,902.5763013
KHN,CTU,1169.286172
KHN,KMG,1350.74595
KHN,NGB,549.5442284
KMG,CGO,1482.969164
KMG,CKG,630.6937861
KMG,CSX,1078.368193
KMG,CTU,617.1225244
KMG,JHG,412.140349
KMG,KHN,1350.74595
KMG,KWE,419.147171
KMG,LUM,450.8178912
KMG,NGB,1899.936997
KMG,NKG,1721.674682
KMG,TAO,2073.680933
KMG,TNA,1883.480264
KMG,TPE,1841.832765
KMG,WXN,832.7306181
KMG,XIY,1180.754319
KMG,XMN,1534.337228
KMG,XUZ,1726.776219
KOW,CTU,1183.44278
KOW,XMN,367.0531532
KWE,CTU,528.6171725
KWE,HGH,1394.303763
KWE,JJN,1196.834402
KWE,KMG,419.147171
KWE,LHW,1149.384006
KWE,SYX,954.1755669
KWE,WNZ,1396.892141
KWE,XUZ,1327.18595
KWL,INC,10000
KWL,SJW,1517.197432
KWL,SYX,771.6516801
LHW,CKG,806.2550781
LHW,CTU,660.8247671
LHW,DNH,868.2474999
LHW,JGN,592.1870746
LHW,KWE,1149.384006
LHW,TSN,1238.734654
LJG,CKG,711.902746
LJG,CTU,564.1709661
LJG,MIG,685.1392886
LUM,CTU,869.8349022
LUM,KMG,450.8178912
LXA,CKG,1521.765866
LXA,CTU,1263.352825
LXA,GXH,1262.985976
LXA,XIY,1776.306885
LXA,XNN,1312.129134
LYI,XIY,884.7635504
LZY,CTU,936.6211003
MEL,CTU,8697.440511
MIG,LJG,685.1392886
MIG,NKG,1337.101944
MIG,SYX,1533.120499
MIG,XNN,619.1211736
NGB,CKG,1429.446378
NGB,HAK,1560.777556
NGB,HRB,1805.401778
NGB,KHN,549.5442284
NGB,KMG,1899.936997
NGB,SHE,1326.048924
NGB,SYX,1769.11184
NKG,CGQ,1487.06882
NKG,CKG,1188.766228
NKG,CTU,1423.954013
NKG,DYG,858.6327044
NKG,HRB,1669.62333
NKG,KMG,1721.674682
NKG,MIG,1337.101944
NKG,SYX,1769.878572
NNG,CKG,805.2729958
NNG,CTU,980.5089903
NNG,SGN,1320.844449
NNG,WUH,1088.497939
NTG,WUH,10000
NZH,HRB,798.966529
PEK,CKG,1464.009709
PEK,CTU,1556.06365
PEK,WXN,1267.478488
PEK,ZHY,1027.827838
PVG,CKG,1461.210734
PVG,CTU,1703.886492
PVG,SPN,3014.173937
PZI,CKG,591.9593719
PZI,CTU,495.6300759
SGN,NNG,1320.844449
SHE,CSX,1761.229613
SHE,CTU,2134.822995
SHE,DSN,1173.869096
SHE,NGB,1326.048924
SHE,TYN,1023.680037
SHE,XUZ,990.0669504
SHE,YVR,8002.807051
SJW,CTU,1304.279105
SJW,HRB,1254.482868
SJW,KWL,1517.197432
SPN,CAN,3517.580226
SPN,PVG,3014.173937
SWA,CKG,1195.354691
SYD,CKG,8484.963286
SYX,CKG,1300.078897
SYX,CTU,1472.175992
SYX,KWE,954.1755669
SYX,KWL,771.6516801
SYX,MIG,1533.120499
SYX,NGB,1769.11184
SYX,NKG,1769.878572
SYX,TNA,2199.66305
SYX,WNZ,1582.705181
SYX,YBP,1267.900073
SZX,CKG,1063.145673
SZX,CTU,1318.27203
SZX,WXN,1052.705126
TAO,CTU,1647.70536
TAO,KMG,2073.680933
TNA,CGQ,1068.426723
TNA,CKG,1261.856542
TNA,CTU,1409.949863
TNA,DLC,445.7890789
TNA,HRB,1231.471872
TNA,KMG,1883.480264
TNA,SYX,2199.66305
TNA,XIY,809.9919986
TPE,KMG,1841.832765
TSA,CKG,1558.639143
TSA,CTU,1833.878026
TSN,CGQ,879.4911369
TSN,CKG,1432.329536
TSN,CTU,1545.594693
TSN,HGH,1028.394719
TSN,HRB,1027.000351
TSN,LHW,1238.734654
TVS,TYN,10000
TYN,CKG,1049.742457
TYN,CTU,1127.357845
TYN,DAT,267.6385642
TYN,HGH,1102.122497
TYN,SHE,1023.680037
TYN,TVS,10000
URC,CGO,2485.613712
URC,CKG,2313.153248
URC,CTU,2071.497025
URC,KHG,1065.96956
URC,XIY,2105.230273
UYN,XIY,441.4865986
WNZ,CSX,749.4603331
WNZ,CTU,1665.040268
WNZ,HRB,2026.005528
WNZ,KWE,1396.892141
WNZ,SYX,1582.705181
WUH,CKG,736.159495
WUH,CTU,981.1806711
WUH,HRB,1952.08256
WUH,JJN,792.923357
WUH,NNG,1088.497939
WUH,NTG,10000
WUX,CKG,1333.220195
WUX,CTU,1572.162051
WXN,CTU,429.6443355
WXN,KMG,832.7306181
WXN,PEK,1267.478488
WXN,SZX,1052.705126
XIC,CTU,334.8555552
XIY,BHY,1436.249486
XIY,CKG,562.0029411
XIY,CTU,622.7660515
XIY,FOC,1410.899811
XIY,GXH,560.1700995
XIY,HRB,1932.488499
XIY,KMG,1180.754319
XIY,LXA,1776.306885
XIY,LYI,884.7635504
XIY,TNA,809.9919986
XIY,URC,2105.230273
XIY,UYN,441.4865986
XIY,XMN,1425.329017
XIY,XNN,649.8016015
XIY,YBP,743.365657
XMN,CSX,634.9914689
XMN,CTU,1548.858868
XMN,CZX,835.8969212
XMN,KMG,1534.337228
XMN,KOW,367.0531532
XMN,XIY,1425.329017
XNN,CKG,869.4984333
XNN,CTU,684.5764466
XNN,LXA,1312.129134
XNN,MIG,619.1211736
XNN,XIY,649.8016015
XNN,ZHY,299.586525
XUZ,CTU,1334.804121
XUZ,DLC,651.3102404
XUZ,HRB,1482.689485
XUZ,KMG,1726.776219
XUZ,KWE,1327.18595
XUZ,SHE,990.0669504
YBP,SYX,1267.900073
YBP,XIY,743.365657
YIH,CKG,474.4215635
YIH,CTU,721.0946878
YIH,HKG,948.5105106
YTY,CTU,1509.039579
YVR,SHE,8002.807051
ZHA,CKG,1016.395512
ZHA,HKG,386.9538369
ZHY,PEK,1027.827838
ZHY,XNN,299.586525
ZUH,CZX,1271.185796
ZUH,HAK,380.48756
LAS,LAX,379.9942734
LAX,LAS,379.9942734
CAI,TLV,392.486694
TLV,CAI,392.486694
MCG,NIB,63.45255344
MCG,TCT,10000
NIB,MCG,63.45255344
TCT,TLJ,10000
TLJ,MCG,19.87238494
EYK,VKO,1859.767489
NCU,VKO,2168.568893
